month,SL,S2,S3,S4,SH,S2L,S22,S23,S24,S2H,M3L,M32,M33,M34,M3H,B4L,B42,B43,B44,B4H,BL,B2,B3,B4,BH
1980m10,0.00219304,0.01870704,0.0329458,0.02092715,0.07943038,0.01247576,0.01548981,0.01805518,0.03834195,0.02495879,0.02917271,-0.02618065,0.04643253,0.09130795,0.06396519,0.016375,0.02611288,0.04458156,0.04039324,0.01686188,0.05556365,0.0157444,0.03119081,0.0351431,0.07137542
1980m11,0.00146721,0.00703329,-0.01160665,-0.01423599,0.00854427,-0.02299326,-0.00583531,0.00142035,-0.0112231,0.02471963,-0.02889847,0.0284986,0.0321647,0.01312689,0.00913327,-0.00938606,-0.01723434,-0.00809996,-0.0091708,0.01810839,0.01949776,0.00944251,0.02171886,-0.00623432,-0.01653682
1980m12,-0.05302217,-0.02738717,-0.0467655,-0.01148052,0.01579885,-0.02104324,-0.03415086,-0.00130256,-0.0310352,-0.05555407,-0.04450424,-0.08666594,-0.05777502,-0.02451734,-0.03469044,-0.02230565,-0.02306471,-0.04961372,-0.03208798,-0.04066096,-0.02405191,-0.03969817,-0.04124969,-0.04862795,-0.04849879
1981m1,0.03810653,-0.00262423,-0.01079693,0.04167156,0.0055332,0.0164098,-0.01613288,0.01543516,0.05040921,0.01129018,0.02235679,0.01477805,0.00450655,0.0281228,-0.00448669,-0.05462509,-0.0387674,-0.02256315,0.02553881,-0.02360068,0.00120623,0.01244713,0.01028598,-0.00561022,-0.02575982
1981m2,0.05740774,0.04085646,0.05092239,0.08164091,0.05836959,0.06409383,0.09442653,0.06132165,0.08956742,0.00267853,0.17332246,0.0770255,0.07031556,0.08325822,0.05824566,0.15302366,0.08838665,0.0686657,0.07899624,0.07263115,0.04996282,0.05414261,0.06787944,0.09724201,0.06290148
1981m3,0.06252589,0.06824497,0.0829218,0.12915791,0.05008438,0.09669633,0.05823399,0.11671703,0.08004833,0.12054263,0.07517976,0.10348315,0.08815749,0.0951712,0.07896646,0.05766863,0.03279771,0.06105292,0.07922833,0.06645347,0.02248395,0.03770507,0.05707613,0.04681149,0.0246208
1981m4,0.12219929,0.08441786,0.09198227,0.10373868,0.07714971,0.06618354,0.11070133,0.09332753,0.09622626,0.04897335,0.14948104,0.09665734,0.08944771,0.04382612,0.06518752,0.14971889,0.11854814,0.06485208,0.11276463,0.05220192,0.14728997,0.13324732,0.05924729,0.08326455,0.02810258
1981m5,-0.00153233,0.01139923,-0.0107063,-0.00900907,0.00805326,-0.03133656,0.01610115,0.00275449,-0.024442,-0.00367623,-0.04976105,-0.04404325,-0.02984429,-0.03970553,-0.01117988,-0.09777919,-0.04528618,-0.06138543,-0.05146404,-0.01891907,-0.08145656,-0.06240323,-0.06054413,-0.06054668,-0.02843176
1981m6,0.00381373,0.01908382,-0.00344824,0.03907629,0.00401407,-0.00291416,-0.03085364,-0.02148457,0.03055752,-0.00549903,-0.00471574,-0.03241797,-0.00469775,0.00653133,0.00300397,0.01066524,-0.01849037,-0.02147879,0.00704612,0.02508714,-0.01382246,0.03701125,0.02515735,0.06308516,-0.00806915
1981m7,-0.00130339,-0.0060241,-0.02587629,-0.00733441,0.0065206,-0.03862052,-0.00922996,-0.01276321,-0.03495788,0.03507638,0.02259739,-0.03328851,-0.0032392,-0.01324857,-0.00372384,-0.03584386,0.01161138,-0.01585695,-0.02302356,-0.03542904,0.02587075,-0.02580649,-0.04297361,-0.03882684,0.04211699
