month,SL,S2,S3,S4,SH,S2L,S22,S23,S24,S2H,M3L,M32,M33,M34,M3H,B4L,B42,B43,B44,B4H,BL,B2,B3,B4,BH
1980m10,.00363479,.03723195,.02684393,.02632224,.05440642,.00713472,.0086461,.02009337,.02608685,.02534571,.02832188,-.0232451,.04647134,.10091112,.05734998,.0127992,.02792518,.04591622,.04496566,.02483652,.03476601,.03322901,.03106177,.02265172,.05729754
1980m11,.0044892,-.00045777,-.00069126,-.01359851,-.00568695,-.02502082,-.00506019,.002378,-.01752723,.0199611,-.02600841,.02548228,.02880969,.01400847,.0135998,-.00835903,-.01381106,-.00826212,-.01095025,.02234965,.03295239,.02460708,.01252285,-.01330215,-.01407436
1980m12,-.03467011,-.02176733,-.04095372,-.00390135,.02334463,-.01849113,-.04241007,.00260751,-.02273237,-.05726496,-.04276691,-.07709465,-.05810559,-.02201898,-.04061624,-.0286292,-.01795568,-.04570196,-.02993338,-.03772124,-.02941355,-.00947206,-.04454313,-.04943923,-.05271346
1981m1,.03952465,.00740792,-.00906202,.01933511,.00612547,.01341358,-.01935144,.01599898,.04775411,.01202431,.02532882,.01512092,.00961571,.03238663,.00134755,-.05053081,-.02996352,-.02182265,.01962399,-.0203707,-.01938372,.01239531,.00380667,-.01478053,-.00550989
1981m2,.04437726,.04473385,.04490436,.0688211,.03813936,.05850246,.08889856,.06067999,.09096129,.00499019,.146252,.07276655,.06969347,.08213981,.06844712,.13581888,.09294956,.07698519,.07711611,.07827135,.07079359,.09359784,.10558902,.08131496,.06445918
1981m3,.07107042,.06805426,.06323986,.10004582,.02727672,.10411604,.05200645,.12154091,.07686596,.11367855,.07685228,.10152739,.08492717,.09999566,.08495356,.05097485,.02815551,.05848989,.08942373,.07320786,.02644637,.06123324,.06773813,.05431809,.01699881
1981m4,.12986141,.08723994,.09172831,.10230586,.07710478,.06741984,.1126706,.09115102,.10905587,.05277999,.15044649,.09649149,.09366138,.0443165,.07427188,.14240937,.12429276,.05871578,.11492762,.06194521,.16545209,.1326956,.0779189,.09453585,.03715438
1981m5,.01084349,.01973759,-.00888262,-.01519395,.00576809,-.03574199,.01596608,.0054094,-.02802565,-.0028672,-.04982006,-.03633651,-.02779805,-.03455712,-.01430642,-.09259782,-.03738108,-.06425318,-.05261512,-.01740238,-.10052611,-.0625223,-.0539295,-.0608373,-.03426968
1981m6,.00664403,.02215306,.00571831,.02382889,.00974412,.00708267,-.02663834,-.01536331,.03763113,-.00385079,-.00250027,-.03375883,-.00420842,.00667824,.00227717,-.0005368,-.01763588,-.01786444,.00887419,.03264912,-.01976095,.02076304,.03589062,.03369842,.00836782
1981m7,-.00755442,-.00598904,-.0194514,-.00350916,.01124956,-.0353307,-.00981552,-.01030094,-.03070502,.03782532,.02424785,-.02529123,-.00477405,-.02091405,-.00137464,-.03854582,.0024282,-.0163614,-.02254503,-.0388858,-.0023865,-.01948886,-.03161814,-.03757915,.02557139
