month,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27
1980m10,0.00117256,0.01982972,0.05068596,-0.01990371,0.04187004,0.05546976,0.01132342,0.00274884,-0.01928504,0.05390332,0.08706333,0.06208744,0.01504394,0.03673254,0.01650058,0.01008025,-0.01130905,0.0330888,0.07315124,0.08694032,0.08378833,-0.00960766,0.03265907,0.03404486,0.0458432,0.0169279,-0.01465255
1980m11,0.03613495,0.00391475,-0.00929705,-0.00418551,0.00403446,-0.01051979,-0.01765832,-0.02188699,0.00280212,0.01716985,0.03883374,-0.00709661,-0.03329074,0.03187062,0.01482035,-0.03464924,0.01229134,-0.0018509,0.03957159,-0.01422225,-0.03333794,0.0098518,0.00295021,0.01496834,0.01136253,-0.02403117,-0.00936502
1980m12,-0.0417559,-0.04563663,-0.01075796,-0.06894829,-0.03596621,-0.02869965,-0.06777257,-0.04585786,-0.00893526,-0.01551066,-0.01268324,-0.05004213,-0.0662536,-0.03197625,-0.04439182,-0.02551693,-0.05209692,-0.06611591,-0.02953791,-0.09760673,-0.02755323,-0.03663771,-0.01283132,-0.08130903,-0.02421671,-0.04563948,-0.04210227
1981m1,0.01166969,-0.02354262,0.03862253,0.01182092,-0.00416948,-0.01246967,0.0629353,0.08347488,0.02473776,-0.00757211,0.00046644,0.00660468,0.0410574,0.02428837,0.01990203,0.00938962,-0.0256244,0.03753344,-0.00786166,-0.0274767,-0.03867832,-0.00362496,0.02437989,-0.00756879,0.0056618,-0.01487496,0.00055084
1981m2,0.02793217,0.03595618,0.07303578,0.08719072,0.02224268,0.05378916,0.07463747,0.05744683,0.07795566,0.05686345,0.04843174,0.02747717,0.09905644,0.08175663,0.07955236,0.18678574,0.1029494,0.08565929,0.06494209,0.07618592,0.05715924,0.05656825,0.08789671,0.11297579,0.05038309,0.09205557,0.06951469
1981m3,0.08175346,0.03847594,0.08272081,0.05607801,0.07838837,0.11303425,0.05439855,0.07505929,0.07396738,0.15056034,0.07319558,0.07847115,0.05211399,0.11032853,0.1195578,0.06170519,0.10846932,0.05379232,0.03119515,0.06078165,0.03518926,0.03486042,0.05958977,0.02453542,0.0594669,0.00622729,0.04824899
1981m4,0.07304459,0.09353161,0.07673598,0.11366134,0.11279059,0.11813375,0.19217571,0.1136942,0.07521191,0.07918374,0.03451573,0.01669687,0.08752562,0.0866374,0.09701871,0.14514858,0.12473657,0.13302382,0.07641186,0.07763748,0.00943975,0.15139738,0.05500538,0.09590244,0.13834216,0.11688431,0.10310847
1981m5,0.03026471,-0.02244987,-0.00271128,-0.00770443,0.00452747,-0.00857873,-0.00220111,-0.0067082,0.01379286,-0.011365,-0.01018613,-0.02909882,-0.04794941,-0.00167624,-0.03809091,-0.03056767,-0.05152564,-0.00741261,-0.07142365,-0.07210517,-0.01258361,-0.05113135,-0.04676832,-0.05412898,-0.10270786,-0.05305765,-0.0626123
1981m6,-0.00917165,-0.00682909,0.02259775,0.00279304,0.00987626,0.02628535,0.01842907,0.02565522,-0.00213758,-0.01761716,0.04416058,-0.00662123,0.01173661,0.01321697,0.00093072,-0.01278954,-0.0459848,-0.05608666,-0.00540305,0.05311128,0.01169607,0.05328245,0.07242247,-0.02543308,-0.0324745,0.00409202,0.01543931
1981m7,-0.03450484,-0.00401805,-0.01909498,0.02185913,-0.0060379,-0.01102443,-0.00709639,0.0195077,-0.00742229,-0.02396242,-0.0017331,0.01111128,-0.0066314,0.00487391,-0.01342955,-0.00602334,-0.0199713,-0.0084883,-0.00464349,-0.01926576,0.04479588,0.00633782,-0.03124242,0.00845722,-0.01579169,-0.03963668,-0.04535034
