Null Hypothesis: RMRF has a unit root,,,,
Exogenous: Constant,,,,
"Lag Length: 0 (Automatic - based on SIC, maxlag=17)",,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-20.07568, 0.0000
Test critical values:,1% level,,-3.445852,
,5% level,,-2.868268,
,10% level,,-2.570419,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RMRF),,,,
Method: Least Squares,,,,
Date: 04/25/16   Time: 18:07,,,,
Sample (adjusted): 1980M11 2015M06,,,,
Included observations: 416 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RMRF(-1),-0.987812,0.049204,-20.07568,0.0000
C,0.005080,0.002227,2.280767,0.0231
,,,,
R-squared,0.493288,    Mean dependent var,,-0.000257
Adjusted R-squared,0.492065,    S.D. dependent var,,0.063280
S.E. of regression,0.045100,    Akaike info criterion,,-3.355087
Sum squared resid,0.842069,    Schwarz criterion,,-3.335708
Log likelihood,699.8580,    Hannan-Quinn criter.,,-3.347424
F-statistic,403.0329,    Durbin-Watson stat,,1.992442
Prob(F-statistic),0.000000,,,
,,,,
