Null Hypothesis: ERUK1 has a unit root,,,,
Exogenous: Constant,,,,
"Lag Length: 0 (Automatic - based on SIC, maxlag=17)",,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-15.96458, 0.0000
Test critical values:,1% level,,-3.445852,
,5% level,,-2.868268,
,10% level,,-2.570419,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(ERUK1),,,,
Method: Least Squares,,,,
Date: 04/25/16   Time: 18:07,,,,
Sample (adjusted): 1980M11 2015M06,,,,
Included observations: 416 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
ERUK1(-1),-0.762007,0.047731,-15.96458,0.0000
C,0.006150,0.003130,1.964840,0.0501
,,,,
R-squared,0.381044,    Mean dependent var,,3.39E-05
Adjusted R-squared,0.379549,    S.D. dependent var,,0.080445
S.E. of regression,0.063365,    Akaike info criterion,,-2.675005
Sum squared resid,1.662276,    Schwarz criterion,,-2.655627
Log likelihood,558.4010,    Hannan-Quinn criter.,,-2.667343
F-statistic,254.8680,    Durbin-Watson stat,,2.021158
Prob(F-statistic),0.000000,,,
,,,,
Null Hypothesis: ERUK10 has a unit root,,,,
Exogenous: Constant,,,,
"Lag Length: 0 (Automatic - based on SIC, maxlag=17)",,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-16.16524, 0.0000
Test critical values:,1% level,,-3.445852,
,5% level,,-2.868268,
,10% level,,-2.570419,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(ERUK10),,,,
Method: Least Squares,,,,
Date: 04/25/16   Time: 18:07,,,,
Sample (adjusted): 1980M11 2015M06,,,,
Included observations: 416 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
ERUK10(-1),-0.773890,0.047874,-16.16524,0.0000
C,0.005150,0.002961,1.739226,0.0827
,,,,
R-squared,0.386953,    Mean dependent var,,-1.93E-05
Adjusted R-squared,0.385472,    S.D. dependent var,,0.076591
S.E. of regression,0.060041,    Akaike info criterion,,-2.782774
Sum squared resid,1.492449,    Schwarz criterion,,-2.763396
Log likelihood,580.8170,    Hannan-Quinn criter.,,-2.775112
F-statistic,261.3150,    Durbin-Watson stat,,2.003735
Prob(F-statistic),0.000000,,,
,,,,
Null Hypothesis: ERUK11 has a unit root,,,,
Exogenous: Constant,,,,
"Lag Length: 0 (Automatic - based on SIC, maxlag=17)",,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-18.45447, 0.0000
Test critical values:,1% level,,-3.445852,
,5% level,,-2.868268,
,10% level,,-2.570419,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(ERUK11),,,,
Method: Least Squares,,,,
Date: 04/25/16   Time: 18:07,,,,
Sample (adjusted): 1980M11 2015M06,,,,
Included observations: 416 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
ERUK11(-1),-0.904362,0.049005,-18.45447,0.0000
C,0.006016,0.003613,1.664841,0.0967
,,,,
R-squared,0.451341,    Mean dependent var,,-0.000237
Adjusted R-squared,0.450016,    S.D. dependent var,,0.098936
S.E. of regression,0.073372,    Akaike info criterion,,-2.381751
Sum squared resid,2.228753,    Schwarz criterion,,-2.362372
Log likelihood,497.4041,    Hannan-Quinn criter.,,-2.374089
F-statistic,340.5675,    Durbin-Watson stat,,1.976537
Prob(F-statistic),0.000000,,,
,,,,
Null Hypothesis: ERUK12 has a unit root,,,,
Exogenous: Constant,,,,
"Lag Length: 0 (Automatic - based on SIC, maxlag=17)",,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-18.30325, 0.0000
Test critical values:,1% level,,-3.445852,
,5% level,,-2.868268,
,10% level,,-2.570419,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
