Null Hypothesis: ERUK24 has a unit root,,,,
Exogenous: None,,,,
"Lag Length: 0 (Automatic - based on SIC, maxlag=17)",,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-20.37230, 0.0000
Test critical values:,1% level,,-2.570533,
,5% level,,-1.941587,
,10% level,,-1.616188,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(ERUK24),,,,
Method: Least Squares,,,,
Date: 04/25/16   Time: 18:07,,,,
Sample (adjusted): 1980M11 2015M06,,,,
Included observations: 416 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
ERUK24(-1),-1.002149,0.049192,-20.37230,0.0000
,,,,
R-squared,0.500013,    Mean dependent var,,-0.000227
Adjusted R-squared,0.500013,    S.D. dependent var,,0.071022
S.E. of regression,0.050219,    Akaike info criterion,,-3.142426
Sum squared resid,1.046629,    Schwarz criterion,,-3.132737
Log likelihood,654.6246,    Hannan-Quinn criter.,,-3.138595
Durbin-Watson stat,1.994293,,,
,,,,
