Null Hypothesis: ERUS11 has a unit root,,,,
Exogenous: None,,,,
"Lag Length: 0 (Automatic - based on SIC, maxlag=17)",,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-18.42984, 0.0000
Test critical values:,1% level,,-2.570533,
,5% level,,-1.941587,
,10% level,,-1.616188,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(ERUS11),,,,
Method: Least Squares,,,,
Date: 04/25/16   Time: 18:01,,,,
Sample (adjusted): 1980M11 2015M06,,,,
Included observations: 416 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
ERUS11(-1),-0.900121,0.048840,-18.42984,0.0000
,,,,
R-squared,0.450083,    Mean dependent var,,-0.001322
Adjusted R-squared,0.450083,    S.D. dependent var,,8.827641
S.E. of regression,6.546262,    Akaike info criterion,,6.598066
Sum squared resid,17784.22,    Schwarz criterion,,6.607756
Log likelihood,-1371.398,    Hannan-Quinn criter.,,6.601897
Durbin-Watson stat,1.986329,,,
,,,,
