month	SL	S2	S3	S4	SH	S2L	S22	S23	S24	S2H	M3L	M32	M33	M34	M3H	B4L	B42	B43	B44	B4H	BL	B2	B3	B4	BH
1980m10	.00219304	.01870704	.0329458	.02092715	.07943038	.01247576	.01548981	.01805518	.03834195	.02495879	.02917271	-.02618065	.04643253	.09130795	.06396519	.016375	.02611288	.04458156	.04039324	.01686188	.05556365	.0157444	.03119081	.0351431	.07137542
1980m11	.00146721	.00703329	-.01160665	-.01423599	.00854427	-.02299326	-.00583531	.00142035	-.0112231	.02471963	-.02889847	.0284986	.0321647	.01312689	.00913327	-.00938606	-.01723434	-.00809996	-.0091708	.01810839	.01949776	.00944251	.02171886	-.00623432	-.01653682
1980m12	-.05302217	-.02738717	-.0467655	-.01148052	.01579885	-.02104324	-.03415086	-.00130256	-.0310352	-.05555407	-.04450424	-.08666594	-.05777502	-.02451734	-.03469044	-.02230565	-.02306471	-.04961372	-.03208798	-.04066096	-.02405191	-.03969817	-.04124969	-.04862795	-.04849879
1981m1	.03810653	-.00262423	-.01079693	.04167156	.0055332	.0164098	-.01613288	.01543516	.05040921	.01129018	.02235679	.01477805	.00450655	.0281228	-.00448669	-.05462509	-.0387674	-.02256315	.02553881	-.02360068	.00120623	.01244713	.01028598	-.00561022	-.02575982
1981m2	.05740774	.04085646	.05092239	.08164091	.05836959	.06409383	.09442653	.06132165	.08956742	.00267853	.17332246	.0770255	.07031556	.08325822	.05824566	.15302366	.08838665	.0686657	.07899624	.07263115	.04996282	.05414261	.06787944	.09724201	.06290148
1981m3	.06252589	.06824497	.0829218	.12915791	.05008438	.09669633	.05823399	.11671703	.08004833	.12054263	.07517976	.10348315	.08815749	.0951712	.07896646	.05766863	.03279771	.06105292	.07922833	.06645347	.02248395	.03770507	.05707613	.04681149	.0246208
1981m4	.12219929	.08441786	.09198227	.10373868	.07714971	.06618354	.11070133	.09332753	.09622626	.04897335	.14948104	.09665734	.08944771	.04382612	.06518752	.14971889	.11854814	.06485208	.11276463	.05220192	.14728997	.13324732	.05924729	.08326455	.02810258
1981m5	-.00153233	.01139923	-.0107063	-.00900907	.00805326	-.03133656	.01610115	.00275449	-.024442	-.00367623	-.04976105	-.04404325	-.02984429	-.03970553	-.01117988	-.09777919	-.04528618	-.06138543	-.05146404	-.01891907	-.08145656	-.06240323	-.06054413	-.06054668	-.02843176
1981m6	.00381373	.01908382	-.00344824	.03907629	.00401407	-.00291416	-.03085364	-.02148457	.03055752	-.00549903	-.00471574	-.03241797	-.00469775	.00653133	.00300397	.01066524	-.01849037	-.02147879	.00704612	.02508714	-.01382246	.03701125	.02515735	.06308516	-.00806915
1981m7	-.00130339	-.0060241	-.02587629	-.00733441	.0065206	-.03862052	-.00922996	-.01276321	-.03495788	.03507638	.02259739	-.03328851	-.0032392	-.01324857	-.00372384	-.03584386	.01161138	-.01585695	-.02302356	-.03542904	.02587075	-.02580649	-.04297361	-.03882684	.04211699
1981m8	.03352998	.03383398	.05192091	.05768888	.02933618	.04970352	.04610657	.03928397	.06037109	.00553179	.04746184	.0295351	.05978097	.02080508	.01602061	.07909066	.05601792	.06727935	.05116753	.06167205	.07180012	.07981373	.05114443	.06309447	.05295421
1981m9	-.13747414	-.11485691	-.15160383	-.15580276	-.14675621	-.16301056	-.11152134	-.15470753	-.18142613	-.17888328	-.11926421	-.15461283	-.16021142	-.16681303	-.20162311	-.18825116	-.1525373	-.16342133	-.16516492	-.17532112	-.14833433	-.1788224	-.14123689	-.18532008	-.17015751
1981m10	.00011449	.02792287	.03114022	.01610778	.0405381	-.02498975	.04395136	.03012994	.01798214	.04217394	.01964745	.02948134	.03173698	.01595858	.04281506	.05447553	.02263885	-.01950557	.00828291	.02381184	.0979796	-.01227629	.00216493	.00308163	.01182767
1981m11	.05601992	.05081712	.09265169	.07093934	.07314086	.09219398	.03723069	.05417373	.08052047	.10392354	.14725831	.11349636	.10564018	.05579659	.15108688	.11091007	.11209769	.17024265	.13693858	.11474825	.10044388	.13821361	.12248104	.10681575	.12425511
1981m12	.05595087	.01272405	.03913074	.02260285	.02966898	.04180115	.00475375	-.01254562	.01911568	.03496609	.03392962	.07432487	.00141699	.0048983	.04459531	.03719036	.01016669	.01090238	.01006008	-.02937607	-.03719824	-.00775172	-.02810801	.01981738	.02232568
