month	SGL	SGM	SGH	SML	SMM	SMH	SVL	SVM	SVH	MGL	MGM	MGH	MML	MMM	MMH	MVL	MVM	MVH	BGL	BGM	BGH	BML	BMM	BMH	BVL	BVM	BVH
1980m10	.00117256	.01982972	.05068596	-.01990371	.04187004	.05546976	.01132342	.00274884	-.01928504	.05390332	.08706333	.06208744	.01504394	.03673254	.01650058	.01008025	-.01130905	.0330888	.07315124	.08694032	.08378833	-.00960766	.03265907	.03404486	.0458432	.0169279	-.01465255
1980m11	.03613495	.00391475	-.00929705	-.00418551	.00403446	-.01051979	-.01765832	-.02188699	.00280212	.01716985	.03883374	-.00709661	-.03329074	.03187062	.01482035	-.03464924	.01229134	-.0018509	.03957159	-.01422225	-.03333794	.0098518	.00295021	.01496834	.01136253	-.02403117	-.00936502
1980m12	-.0417559	-.04563663	-.01075796	-.06894829	-.03596621	-.02869965	-.06777257	-.04585786	-.00893526	-.01551066	-.01268324	-.05004213	-.0662536	-.03197625	-.04439182	-.02551693	-.05209692	-.06611591	-.02953791	-.09760673	-.02755323	-.03663771	-.01283132	-.08130903	-.02421671	-.04563948	-.04210227
1981m1	.01166969	-.02354262	.03862253	.01182092	-.00416948	-.01246967	.0629353	.08347488	.02473776	-.00757211	.00046644	.00660468	.0410574	.02428837	.01990203	.00938962	-.0256244	.03753344	-.00786166	-.0274767	-.03867832	-.00362496	.02437989	-.00756879	.0056618	-.01487496	.00055084
1981m2	.02793217	.03595618	.07303578	.08719072	.02224268	.05378916	.07463747	.05744683	.07795566	.05686345	.04843174	.02747717	.09905644	.08175663	.07955236	.18678574	.1029494	.08565929	.06494209	.07618592	.05715924	.05656825	.08789671	.11297579	.05038309	.09205557	.06951469
1981m3	.08175346	.03847594	.08272081	.05607801	.07838837	.11303425	.05439855	.07505929	.07396738	.15056034	.07319558	.07847115	.05211399	.11032853	.1195578	.06170519	.10846932	.05379232	.03119515	.06078165	.03518926	.03486042	.05958977	.02453542	.0594669	.00622729	.04824899
1981m4	.07304459	.09353161	.07673598	.11366134	.11279059	.11813375	.19217571	.1136942	.07521191	.07918374	.03451573	.01669687	.08752562	.0866374	.09701871	.14514858	.12473657	.13302382	.07641186	.07763748	.00943975	.15139738	.05500538	.09590244	.13834216	.11688431	.10310847
1981m5	.03026471	-.02244987	-.00271128	-.00770443	.00452747	-.00857873	-.00220111	-.0067082	.01379286	-.011365	-.01018613	-.02909882	-.04794941	-.00167624	-.03809091	-.03056767	-.05152564	-.00741261	-.07142365	-.07210517	-.01258361	-.05113135	-.04676832	-.05412898	-.10270786	-.05305765	-.0626123
1981m6	-.00917165	-.00682909	.02259775	.00279304	.00987626	.02628535	.01842907	.02565522	-.00213758	-.01761716	.04416058	-.00662123	.01173661	.01321697	.00093072	-.01278954	-.0459848	-.05608666	-.00540305	.05311128	.01169607	.05328245	.07242247	-.02543308	-.0324745	.00409202	.01543931
1981m7	-.03450484	-.00401805	-.01909498	.02185913	-.0060379	-.01102443	-.00709639	.0195077	-.00742229	-.02396242	-.0017331	.01111128	-.0066314	.00487391	-.01342955	-.00602334	-.0199713	-.0084883	-.00464349	-.01926576	.04479588	.00633782	-.03124242	.00845722	-.01579169	-.03963668	-.04535034
1981m8	.02414141	.04232151	.05050817	.0277998	.04853374	.03412662	.03767157	.02634809	.05640414	.05326278	.0233485	.0076929	.02589114	.05599677	.01820275	.06125984	.06324719	.03078818	.05826065	.06337279	.0716428	.07671456	.05272596	.04612404	.0818932	.05039679	.05961317
1981m9	-.11866268	-.10422413	-.15070735	-.1883655	-.10965747	-.16249953	-.16384397	-.11902542	-.13940375	-.16551804	-.17435672	-.20673422	-.11648891	-.14746409	-.16105781	-.15216296	-.12292341	-.15664486	-.15392961	-.17293024	-.17048241	-.17636513	-.20399711	-.15844054	-.15803777	-.13283269	-.16164269
1981m10	.00195834	.02387671	.03489793	.02617126	-.00486207	.03631096	-.01986177	.03873825	.04110475	.01081563	.01488204	.03730831	.04572481	.01529953	.0347076	-.01044189	.03064358	.05391846	.00789311	.01251157	.03334923	.12059754	-.00055099	.00714451	.01472371	.00959415	-.02568504
1981m11	.02833427	.02547884	.08106705	.03961896	.09688869	.07570189	.09962239	.04212764	.12393436	.09192988	.03688948	.15829603	.10395268	.08258669	.10133977	.14153129	.07827689	.10175749	.08941464	.11398009	.12935152	.09125608	.09923779	.12491102	.14349386	.14319735	.16033121
1981m12	.01714759	.03047114	.01069025	.03416179	.02863533	.03685681	.06421036	.07381186	.06186799	-.00893647	.00714922	.04403144	.00656587	.00588718	.04447676	.06144649	.07437936	.02960579	-.00223501	.00283809	.03006097	-.03773012	-.01757177	-.00166306	.00530329	-.01427508	-.01076751
1982m1	.08227413	.07416988	.06808674	.07057002	.05045139	.06675346	.11371242	.06932103	.06743786	.05489089	.06277363	.0745638	.07969269	.08546418	.07028393	.16931024	.04759756	.09990336	.04950749	.05459927	.06084108	.0136905	.08844232	.08860509	.12375114	.05782779	.09186742
1982m2	-.0290294	.01309122	.00460442	-.01096017	-.01176083	-.00815804	-.01185187	-.00924149	-.0022584	-.03372179	-.02345037	-.00025677	-.00043023	.012526	.0404874	-.09212564	-.00901401	-.03054023	-.06202415	-.07007565	-.01543057	-.06465041	-.01810255	-.02686351	-.01494295	-.03410711	-.05229259
1982m3	.00517411	.02873366	.04490602	.01814655	.01389974	.05248822	.03938263	.02470972	.01241813	.04017155	.03197128	.05714484	.02033731	.02196988	.05275767	-.00196246	-.00211738	.0326695	.01862264	.07968546	.04898886	.08177548	.01446507	.02472884	.0381017	.04393708	.0479802
1982m4	-.00040451	.01450275	-.02100499	-.00397838	-.01713917	-.00500096	-.00447777	-.0135126	-.03083559	.01409674	-.01223405	-.01467759	.02327474	.01219602	-.01150992	.00209667	-.01329553	-.0046625	.00390827	.02270825	.01958618	.05449694	.02802919	-.00247403	.00673187	-.05024535	-.00168102
1982m5	.0201036	.03376815	.02088959	.03763972	.02762564	.01644521	.0104587	.01504115	.0106433	.01472734	.03012618	.02850001	.00171945	.01346725	.05494336	.03313963	.02312035	-.01088853	-.02328204	.05577302	.06776371	.00150742	.00700589	.04143138	.02719669	.01639098	.02843037
1982m6	-.04951904	-.02617386	-.02752444	.00489556	-.03564697	-.03137012	-.05800142	-.06159527	-.02413874	-.03725292	-.03196292	-.03636124	-.05184555	-.02470709	-.07369873	-.09188328	-.05116638	-.07401869	-.04179535	-.03137067	-.01171798	-.08308753	-.04681212	-.03111561	-.02504152	-.03244979	-.04168564
1982m7	.02542511	.0188311	.01481258	.00801749	.03697535	.00407655	-.03486246	.02055054	.00352147	.05057344	.02570023	.03567696	.03673953	.04326467	.04102665	-.01996899	.00235854	.04328236	.07229167	.0499866	.06522527	-.03857331	.05465251	.02647398	-.00582475	.01713853	.04213929
1982m8	.01548307	-.01528525	.01455946	.00200259	.00239233	.003539	-.01268958	-.01671895	-.02235686	.02306898	-.00452672	.05040511	.02221984	.00038188	.02305137	-.01812717	-.00260377	.04289264	.0527106	.04157638	.02744561	.08058798	.04923567	.05330934	.02135922	.03261475	.05052887
1982m9	.02078349	.04794459	.03277492	.01033729	.01894679	.01165406	-.02898471	-.01909267	.00795748	.03178621	.07957935	.07334258	-.02713581	.07691804	.03302847	-.05856036	.00941394	.02863387	.00966821	.13279748	.08578626	-.01677838	.08999799	.00719585	.00578083	.02394756	.01131424
1982m10	.02152543	.01491055	.04913572	-.00369945	.00987452	.01628861	.07552026	.03700126	.01617858	.01582676	.01193507	.05558616	.01723775	.02527731	.03260875	-.03461424	.04720197	-.00209337	.00197048	-.02137495	.00611181	-.00332657	.0280451	.06801167	.01155573	.10149856	.04971361
1982m11	.08196797	.01691964	.09929654	.13838004	.04334873	.05140852	.0516036	.02706438	.03810419	.06786543	.05127025	.08131724	.03272877	-.00539871	.06541769	.00740435	.05186287	-.01072301	.02609738	.07165655	.0592405	.02304192	.03389051	.04322202	.00140805	-.04339547	.03993374
1982m12	.04783345	.03176711	.03277446	-.00127803	-.01348326	-.00600494	-.00679682	.02524005	.02185187	.03105648	-.00459269	-.02261536	.01508653	.01615483	.0290488	-.00158841	-.01356412	.00374853	.01134616	.02647234	.01230678	.03621724	.03005064	.01220116	.07318708	.00310874	.0039888
1983m1	.07899295	.02059916	.09115619	.0552688	.04406988	.06361449	.10664871	.03363805	.0399859	.02039859	-.00579912	.06059094	.01344821	.04327935	.08353309	.05757991	.12920727	.04132758	-.04708712	-.03896923	-.03511474	.06010338	.05263619	.023013	.06938914	.04839391	.08283459
1983m2	.00753683	.05905463	.01958524	.03543313	.05691547	.06341828	.07134035	.05979021	.0628288	.04531327	.0653023	.05729149	.01859865	.0082924	.05905879	.03206684	.02204315	.04641287	.01322938	.04166483	.01303793	.01642802	.0032627	.00675067	-.00385661	-.00283556	.01732975
1983m3	-.00708041	.02349482	.03825101	.0412572	.03186475	.04317827	.08167468	.06361453	.05659184	.04946517	.00858187	.05709417	.02363575	.08090011	.03851067	.08045865	.04993638	.0343776	.00857024	-.00630944	-.0127352	.04597525	.00427329	.00110771	.01107658	.14114017	.07995201
1983m4	.08049306	.04948942	.04771227	.05352794	.07407368	.04655064	.12536624	.09512369	.06494746	.08161121	.06728765	.03810414	.07756969	.03773058	.03244906	.01311538	.0866901	.09939209	.05592263	.08614182	.06804988	.05060623	.02158322	.09899109	.11061068	.1571136	.09712935
1983m5	-.03117197	-.00739034	-.01904068	.00994665	.01657072	.00571169	-.03420594	.01592332	-.02953691	-.02164267	.02196168	.0133885	-.03259957	-.02708855	-.00948234	-.02418687	-.01002155	-.0141156	.03994192	-.00788325	.03773514	.01972954	-.02683258	.01504124	.01495464	-.02897306	.0156253
1983m6	.02723022	.02924906	.0177566	.02010905	.04344413	.0378605	.05612032	.01457896	.02062522	.0612295	.01907383	.0840787	.07007401	.02574291	.0075707	.07600118	.05251918	.08035457	.0288778	.04867942	.03461376	.03259728	.05915382	.02744272	.03252666	.08418489	.07863652
