date,rm,rf,rmrf,smb,hml,umd
03oct1988,-.0108511,.000422,-.01127306,.00525148,.0006878,-.00508378
04oct1988,.0021296,.0004233,.00170627,-.00085576,-.00139754,.0012157
05oct1988,.0103932,.0004251,.00996818,-.00446347,.00140606,-.00373774
06oct1988,.006345,.0004254,.0059196,-.00249881,.00250139,-.00266541
07oct1988,.0036179,.0004254,.00319251,.00030991,-.00277563,.0022461
10oct1988,.000175,.0004223,-.00024731,.00422974,-.00149079,.00738719
11oct1988,-.002327,.0004216,-.00274863,.00377518,.00549557,-.00555656
12oct1988,-.0111887,.0004223,-.01161097,.00538493,.00050242,-.00121118
13oct1988,.00791,.0004223,.00748774,-.00172834,.00512555,-.00048812
14oct1988,.004927,.0004223,.00450467,-.00003376,.00478568,-.00179695
17oct1988,.0106461,.0004254,.01022073,-.00470417,.00443819,-.00419915
18oct1988,-.0007277,.0004264,-.0011541,.00067627,-.00090353,-.0019302
19oct1988,.0040571,.0004264,.00363072,.00327984,-.00298672,-.00141132
20oct1988,.0008634,.0004251,.00043836,-.00042181,.00095446,-.00453457
21oct1988,-.0011042,.0004254,-.00152961,.0025553,.0011501,.00186513
24oct1988,-.0052335,.0004233,-.00565686,.00289626,-.00235665,.00246014
25oct1988,-.0006945,.0004227,-.00111718,-.00253788,.00240047,-.00125882
26oct1988,.0007471,.0004223,.00032483,-.0014962,.00228125,.00202685
27oct1988,.0008681,.0004206,.00044753,.00076314,.00001995,.00199253
28oct1988,.0035215,.0004244,.00309713,.00082262,.00215505,-.0034029
31oct1988,-.0008125,.0004216,-.00123408,.00574452,.00172679,-.0031662
01nov1988,.0033044,.0004251,.00287933,-.00061362,.00232,-.00137619
02nov1988,-.0065525,.0004233,-.00697585,.00488589,.00050676,-.00079275
03nov1988,-.00243,.0004244,-.00285437,.00281202,.0029033,.00183532
04nov1988,-.0014964,.0004254,-.00192175,.0009521,.00358065,.00145201
07nov1988,-.0073362,.0004254,-.00776155,.0027741,.00311697,.00153367
08nov1988,.0099533,.0004264,.00952688,-.00659687,.00322087,-.00331724
09nov1988,-.0071263,.0004254,-.00755174,.00424434,.00203433,.00394288
10nov1988,.0004902,.0004244,.0000658,-.00040594,.00213749,-.00082397
11nov1988,-.0117758,.0004227,-.01219847,.00586826,.00206838,.00039444
14nov1988,-.0041255,.0004227,-.00454815,-.00256307,.00250378,.00379124
15nov1988,.0043737,.0004233,.00395039,.00248942,.00142837,-.00183033
16nov1988,.0027969,.0004213,.00237563,-.00113014,.00247123,-.00191746
17nov1988,.0073788,.0004223,.00695646,-.00743721,-.00091841,-.00013942
18nov1988,.0000175,.0004244,-.00040684,.00169483,.00343632,.00121148
21nov1988,-.0058877,.0004227,-.00631036,.00254483,-.00003972,-.00290786
22nov1988,.0046358,.000423,.00421284,-.00169779,.00349698,-.00025137
23nov1988,.0075796,.000424,.00715559,-.00209694,.00426515,.00544764
24nov1988,-.0024553,.0004244,-.00287966,.0015931,.00042118,-.00125684
25nov1988,-.0218378,.0004233,-.02226113,.00126729,-.00038323,.00539696
28nov1988,-.0064067,.0004548,-.00686149,.00134545,.00068337,.00707819
29nov1988,.0035024,.0004582,.00304422,-.00087426,-.00150591,-.00129238
30nov1988,.0035797,.0004606,.00311911,.00006603,.00334213,-.00018986
01dec1988,-.0083466,.0004595,-.00880611,-.00284232,.00227736,.00732936
02dec1988,-.0089384,.0004592,-.00939757,-.00306623,-.00021765,.0087802
05dec1988,-.0027765,.0004585,-.00323499,-.00183136,.00373087,.00322793
06dec1988,.002584,.0004595,.00212448,-.00235887,.00124775,.00166388
07dec1988,.0010709,.0004595,.00061133,-.00497766,-.0044441,.00129619
08dec1988,-.0090474,.0004578,-.00950524,-.00064092,.00103131,.00547033
09dec1988,-.0067697,.0004575,-.00722724,-.00339905,.00152378,.01272756
12dec1988,.0006079,.0004551,.00015278,-.00530367,-.00236584,.00202045
13dec1988,.0026879,.0004548,.00223309,.00088146,.00437897,-.00607776
14dec1988,.0001285,.0004544,-.00032592,-.00276482,.00010165,.00784616
15dec1988,.0043326,.0004575,.00387507,-.00047641,-.00151807,-.00373519
