	gp																											
year	111	112	113	121	122	123	131	132	133	211	212	213	221	222	223	231	232	233	311	312	313	321	322	323	331	332	333	Total
	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.
1980	60	60	60	60	60	60	60	60	60	20	20	20	20	20	19	20	20	19	20	19	19	19	19	19	19	19	19	890
1981	70	70	70	70	70	70	70	70	69	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	979
1982	71	71	71	71	71	71	71	71	70	20	20	19	20	20	19	20	19	19	20	19	19	20	19	19	20	19	19	988
1983	75	75	75	75	75	75	75	75	74	20	20	19	20	20	19	20	19	19	20	19	19	20	19	19	20	19	19	1,024
1984	75	74	74	75	74	74	74	74	74	20	20	19	20	20	19	20	20	19	20	19	19	20	19	19	19	19	19	1,018
1985	78	78	78	78	78	77	78	78	77	20	20	19	20	20	19	20	19	19	20	19	19	20	19	19	20	19	19	1,050
1986	88	88	87	88	88	87	88	87	87	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,138
1987	91	91	91	91	91	91	91	91	90	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,168
1988	101	101	100	101	100	100	101	100	100	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,254
1989	108	108	107	107	107	107	108	107	107	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,316
1990	105	105	105	105	105	104	105	105	104	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,293
1991	99	99	99	99	99	99	99	99	98	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,240
1992	91	91	90	91	91	90	91	90	90	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,165
1993	87	87	87	87	87	86	87	87	86	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,131
1994	89	89	88	89	88	88	89	88	88	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,146
1995	98	98	97	98	98	97	98	98	97	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,229
1996	96	95	95	96	95	95	96	95	95	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,208
1997	97	96	96	96	96	96	96	96	96	20	20	19	20	20	19	20	19	19	20	19	19	20	19	19	20	19	19	1,215
1998	88	87	87	87	87	87	87	87	87	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,134
1999	76	76	75	76	75	75	76	75	75	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	1,029
2000	65	65	65	65	65	64	65	65	64	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	933
2001	59	59	59	59	59	58	59	59	58	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	879
2002	55	55	55	55	55	55	55	55	55	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	845
2003	47	47	46	47	47	46	47	46	46	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	769
2004	42	42	41	42	42	41	42	42	41	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	725
2005	37	37	37	37	37	37	37	37	36	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	682
2006	33	32	32	33	32	32	33	32	32	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	641
2007	23	23	22	23	23	22	23	23	22	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	554
2008	25	25	24	25	25	24	25	24	24	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	571
2009	22	22	22	22	22	21	22	22	21	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	546
2010	19	19	18	19	19	18	19	18	18	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	517
2011	18	18	18	18	18	17	18	18	17	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	510
2012	16	16	16	16	16	16	16	16	16	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	494
2013	15	15	14	15	14	14	15	14	14	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	480
2014	11	11	11	11	11	11	11	11	11	20	20	19	20	19	19	20	19	19	20	20	19	20	19	19	20	19	19	449
Total	2,230	2,225	2,212	2,227	2,220	2,205	2,227	2,215	2,199	700	700	666	700	671	665	700	667	665	700	694	665	699	665	665	698	665	665	32,210

year	mccu1	mccu2	bmmcu1	bmmcu2	bmmcu3	pscu11	pscu12	pscu13	pscu21	pscu22	pscu23	pscu31	pscu32	pscu33
1980	9000	31000												
1980			1.366	0.804	0.701									
1980	9000					-0.058	-0.221	-0.307	0.143	-0.003	-0.174	0.235	0.037	-0.056
1980						0.113	0.006	-0.111	0.463	0.209	-0.003	0.456	0.296	0.161
1980			2.390	1.421	1.237									
1981	14000	48500												
1981			1.182	0.880	0.777									
1981	14000		2.199	1.551	1.451									
1981						0.500	0.288	0.157	0.509	0.349	0.220	0.545	0.424	0.166
1981						0.104	-0.022	-0.136	0.250	0.103	0.049	0.262	0.178	0.021
1982	17000	69000												
1982			1.119	0.653	0.594									
1982	17000		2.168	1.318	1.248									
1982						-0.026	-0.103	-0.250	-0.002	0.035	-0.105	0.086	-0.007	-0.057
1982	17000					0.264	0.144	0.002	0.370	0.263	0.035	0.330	0.246	0.063
1983	23000	87000												
1983			0.857	0.500	0.478									
1983	23000					0.294	0.099	-0.051	0.379	0.237	0.064	0.529	0.340	0.213
1983						0.719	0.420	0.211	0.800	0.545	0.278	0.780	0.559	0.405
1983			1.603	1.118	1.021									
1984	31000	114000												
1984			0.724	0.470	0.467									
1984	31000					0.109	0.072	-0.060	0.007	0.050	0.033	0.063	0.052	0.202
1984						0.461	0.343	0.285	0.278	0.271	0.262	0.282	0.175	0.372
1984			1.341	1.047	0.957									
1985	40000	141000												
1985			0.572	0.417	0.454									
1985	40000		1.103	0.837	0.825									
1985						0.099	0.013	0.025	0.255	0.255	0.099	0.321	0.138	0.129
1985	40000					0.508	0.362	0.334	0.714	0.470	0.314	0.562	0.416	0.368
1986	57000	186000												
1986			0.466	0.316	0.349									
1986	57000					0.223	0.264	0.075	0.422	0.261	0.206	0.385	0.393	0.308
1986						0.718	0.607	0.401	0.898	0.703	0.454	0.683	0.614	0.561
1986			0.936	0.606	0.610									
1987	119000	358500												
1987			0.213	0.195	0.230									
1987	119000					0.703	0.512	0.383	0.711	0.492	0.437	0.458	0.437	0.424
1987						1.265	1.010	0.731	1.234	0.746	0.647	0.688	0.607	0.735
1987			0.438	0.346	0.391									
1988	103000	298000												
1988			0.316	0.329	0.374									
1988	103000					-0.310	-0.320	-0.321	-0.193	-0.197	-0.273	-0.175	-0.235	-0.256
1988						-0.092	-0.107	-0.120	-0.049	-0.082	-0.080	-0.078	-0.130	-0.086
1988			0.611	0.491	0.539									
1989	116000	346500												
1989			0.356	0.296	0.339									
1989	116000					0.006	-0.050	-0.095	0.069	-0.015	0.032	0.132	0.111	0.082
1989						0.333	0.206	0.130	0.271	0.247	0.147	0.322	0.303	0.242
1989			0.661	0.523	0.564									
1990	78000	251000												
1990						-0.196	-0.303	-0.475	0.000	-0.094	-0.179	0.023	-0.016	-0.113
1990	78000					-0.002	-0.107	-0.265	0.157	0.013	-0.058	0.139	0.117	0.001
1990			0.631	0.469	0.407									
1990			1.292	0.867	0.786									
1991	108000	355500												
1991			1.265	0.613	0.615									
1991	108000					-0.145	-0.302	-0.448	0.023	-0.048	-0.139	0.042	-0.038	-0.122
1991						0.150	-0.017	-0.190	0.318	0.148	0.016	0.246	0.073	0.025
1991			0.584	0.331	0.327									
1992	98000	343000												
1992			0.686	0.380	0.348									
1992	98000		1.607	0.755	0.691									
1992						0.110	-0.088	-0.377	0.252	0.006	-0.194	0.127	0.086	-0.132
1992	98000					0.442	0.219	-0.062	0.520	0.226	0.062	0.302	0.186	0.190
1993	147000	508000												
1993			0.412	0.292	0.329									
1993	147000		0.885	0.480	0.524									
1993						0.259	0.141	-0.010	0.398	0.386	0.244	0.204	0.288	0.281
1993	147000					0.637	0.486	0.369	0.661	0.598	0.637	0.446	0.461	0.453
1994	163000	569500												
1994			0.370	0.287	0.330									
1994	163000		0.781	0.536	0.525									
1994						0.130	0.024	-0.046	0.084	0.035	-0.055	0.011	0.020	0.013
1994	163000					0.457	0.281	0.219	0.240	0.145	0.064	0.144	0.168	0.121
1995	196000	609000												
1995			0.796	0.469	0.490									
1995	196000					0.002	-0.111	-0.212	0.084	-0.054	-0.074	0.057	-0.017	-0.029
1995						0.238	0.084	-0.022	0.262	0.117	0.069	0.199	0.083	0.110
1995			0.385	0.251	0.311									
1996	214000	630500												
1996			0.351	0.207	0.288									
1996	214000					0.174	0.006	-0.084	0.416	0.082	-0.013	0.107	0.021	-0.019
1996						0.550	0.248	0.108	0.844	0.293	0.198	0.339	0.171	0.072
1996			0.782	0.438	0.496									
1997	227000	666000												
1997			0.796	0.443	0.465									
1997	227000					-0.047	-0.122	-0.123	0.102	0.067	0.006	0.106	0.043	-0.003
1997						0.330	0.129	0.106	0.428	0.289	0.152	0.335	0.224	0.246
1997			0.357	0.202	0.247									
1998	173000	478500												
1998			0.442	0.269	0.231									
1998	173000		1.044	0.717	0.528									
1998						0.133	-0.007	-0.153	0.312	0.121	-0.030	0.292	0.163	0.040
