month	SGL	SGM	SGH	SML	SMM	SMH	SVL	SVM	SVH	MGL	MGM	MGH	MML	MMM	MMH	MVL	MVM	MVH	BGL	BGM	BGH	BML	BMM	BMH	BVL	BVM	BVH
1980m10	-.00070945	.04498102	.04513397	-.00360534	.02729209	.03398034	.03053157	.00131621	-.00608868	.05213323	.07005165	.05325933	.01802138	.02909153	.01147001	-.00604455	-.00329889	.0325735	.05990402	.07428249	.05874167	-.00321116	.03864324	.02929476	.03258956	.0236181	-.00366731
1980m11	.0498223	.01461316	-.01206061	-.01053044	-.00658022	-.01085459	.00003992	-.01281934	-.00935818	.01243423	.02577359	-.0065587	-.03182723	.02545231	.01258492	-.03643801	.01136551	-.00175197	.03132467	-.01387892	-.01459756	.0168307	.00379188	.00239227	.00029444	-.02731177	-.01102586
1980m12	-.04484798	-.03699768	-.00878827	-.04609865	-.03655613	-.01452289	-.05258404	.00072454	.00024831	-.01999415	-.01578031	-.06274884	-.06676876	-.01305923	-.0348948	-.01410885	-.04514597	-.0586519	-.03406277	-.04816563	-.0400629	.00258157	-.02280309	-.05949692	-.0311548	-.04744921	-.05024008
1981m1	.01505061	-.01235476	.03481175	.01723668	.01472983	-.01611666	.0566247	.06811489	.01266561	-.00514982	.01015614	.01339927	.05481471	.02636801	.0168526	-.01045701	-.03046776	.04633927	-.02917016	-.01973898	-.02288787	-.00611298	.0166235	.0193102	-.03341988	-.03848356	.00485636
1981m2	.02753611	.03739588	.05630957	.0660165	.00480591	.03831394	.05044405	.04876439	.091419	.0607804	.04598272	.02879652	.09451634	.07655352	.07733194	.11977082	.10023398	.08424769	.09624085	.05646477	.05909601	.07176685	.08610685	.10404323	.10603041	.11552269	.07462491
1981m3	.07968374	.02309434	.05897119	.09890901	.08700214	.09368776	.05385239	.06206132	.06823188	.1551748	.07328806	.08592792	.07221736	.10861923	.11617256	.06551002	.07938994	.06163458	.03910156	.0938847	.02141873	.04906407	.05584803	.05680765	.06319643	.02238412	.05817555
1981m4	.07756596	.08660872	.08268552	.11985291	.12484577	.11788897	.17074327	.13835617	.06720327	.07202313	.04138075	.01881238	.0817848	.09274137	.11629311	.1225557	.13665982	.1398927	.06274283	.09597207	.01819206	.12447693	.05374667	.09200101	.16327267	.1390365	.11060897
1981m5	.04103699	-.01794862	.00112958	-.00295346	.02237755	-.01280872	.00617886	.00734166	.01228622	.00161645	-.01310947	-.02740335	-.04034721	.00102459	-.03364653	-.03682383	-.03644564	.00609383	-.07355071	-.0572035	-.01882022	-.02489767	-.03536823	-.04564937	-.10405837	-.05723272	-.07410398
1981m6	-.01298005	.00021184	.02172163	.01098338	.02491852	.02760527	.00959816	.02404797	-.00313797	-.01372185	.04212143	-.00545568	.01156725	.00457485	.01222745	-.00378775	-.03847686	-.05649167	-.00051616	.02421898	.05007453	.03322925	.03645917	-.03069451	-.00837835	-.03562058	.01309115
1981m7	-.01695427	-.00595794	-.01490167	.00609078	-.00622211	-.00891819	-.00788019	-.01857736	.00415248	-.02595606	.00045873	.01605116	.00694192	-.00451225	-.01235271	-.01518503	-.01500106	-.00778598	-.00114251	-.01699622	.00910563	-.02621357	-.0172253	-.0000543	-.03396409	-.00921567	-.04641509
1981m8	.02548472	.03764819	.04887675	.03912452	.04278214	.03796015	.03521158	.05225509	.02773415	.05535489	.02727239	.01502943	.0407083	.05124713	.01589791	.06199922	.05625296	.03227716	.05008851	.03949291	.06029698	.07040473	.0527941	.04953284	.0930473	.0475847	.0650325
1981m9	-.13066749	-.10174606	-.13437531	-.15822954	-.09394854	-.13459795	-.17153767	-.10007849	-.13324824	-.15627108	-.16413132	-.20475295	-.12550619	-.14103871	-.17025836	-.155268	-.11885767	-.1517114	-.17898366	-.16657936	-.1900906	-.17971464	-.19026743	-.156723	-.16882931	-.15718564	-.16041669
1981m10	.0126479	.02715646	.04282147	.02694516	.00576958	.03031067	-.00057179	.02859536	.03917438	.00768501	.0228771	.04394494	.0507036	.01643407	.03009652	-.02527612	.02732875	.05084848	.03972772	.01974713	.03304223	.03493837	-.00495206	.00317909	-.00158974	.00739567	-.01239975
1981m11	.03444486	.03331846	.07812722	.05272789	.07312682	.05694149	.09757379	.03876816	.0791262	.08527432	.04613545	.1657818	.09843782	.07210993	.09400314	.13427149	.06953047	.09760704	.11356075	.10738283	.12438243	.08545965	.10827022	.12199208	.15924276	.15049079	.17218644
1981m12	.00343915	.03211818	.01427019	.02584126	.03476744	.03284386	.05464266	.04474748	.05984492	-.00773919	.00751825	.03379543	-.00100306	.00427687	.04427031	.06307013	.03959148	.0254284	.01095433	.0097748	.01768125	.01156753	-.01069461	-.00873351	.02969646	.00595628	-.00950563
1982m1	.05775266	.05782232	.07545074	.05265112	.0672982	.05390391	.10023543	.06609532	.07099004	.06429299	.06069212	.07648083	.08374925	.08254061	.079443	.15952392	.06081643	.09434452	.04975043	.07175959	.06703192	.08369597	.09635285	.10238603	.1091523	.06874249	.09894407
1982m2	-.02203319	.01020411	.0004062	-.00653248	-.00463232	-.00548919	-.02351306	-.01571448	.00037804	-.03531933	-.01083451	.00370685	-.0009439	.0131708	.03880282	-.09429343	-.00645964	-.02752569	-.04596923	-.05184924	-.01883421	-.02278254	-.01876168	-.02948808	-.01124826	-.0367926	-.04495817
1982m3	.00230204	.03278747	.03267492	.0029865	.01665541	.04426517	.02880792	.01028609	.01102966	.03655924	.03151495	.06308555	.01387468	.0225154	.05508303	-.00555506	-.0120564	.03340326	.03738472	.07408369	.03728799	.05722205	.037096	.04200921	.03648269	.06239316	.04443192
1982m4	-.00140734	.02080952	-.0116485	-.00773114	-.00392494	.00178772	.00369397	-.03073905	-.02953887	.02130856	-.00905124	-.01340993	.02790762	.00877029	-.02506049	.00462424	-.00679032	-.00551448	.01760754	.0252416	-.00238259	-.00939478	-.00083199	-.00056358	.0198133	-.04305564	.01599002
1982m5	.01597546	.03314369	.01747004	.03064743	.03346357	.02129113	.00266405	.00526756	.00141831	.02472331	.03202031	.02746407	.00002916	.01870585	.05388758	.02870089	.01519613	-.01777323	-.01204693	.05791029	.03840149	-.01193381	.01192986	.03463706	.01874857	.03683185	.01931622
1982m6	-.02082376	-.01108232	-.03109529	.00350176	-.02816008	-.03308576	-.05055868	-.04137308	-.02606363	-.03978483	-.02377595	-.03884668	-.05615088	-.02448182	-.06656454	-.09390331	-.05348315	-.07405116	-.04403928	-.03293556	-.02189462	-.03847014	-.02606806	-.03412104	-.03621225	-.03694206	-.06074418
