month,S1,S2,S3,S4,S5
1980m10,.01900364,.01871809,.04305869,.02934401,.0365506
1980m11,.00056784,-.00598113,.00818647,-.00464137,.00273947
1980m12,-.02690781,-.0290599,-.04682682,-.02809004,-.04108983
1981m1,.02167674,.01031419,.01778052,-.01758711,-.00590955
1981m2,.0464577,.06478755,.09255303,.08842044,.08128666
1981m3,.06955765,.09429302,.08867764,.05967198,.04375388
1981m4,.10869778,.08221123,.09555648,.10132338,.09151124
1981m5,.0059929,-.00543823,-.03375625,-.05292791,-.05830025
1981m6,.01171547,-.00626368,-.00535875,-.00037343,.01804194
1981m7,-.00811021,-.00877792,-.00358332,-.02060782,-.01221551
1981m8,.03682893,.04318959,.03904491,.0607819,.05629176
1981m9,-.12912825,-.15222376,-.158149,-.17128462,-.17354311
1981m10,.02346008,.02007474,.03040548,.02306615,.0058136
1981m11,.06014118,.08056364,.11877437,.11901723,.12766407
1981m12,.03202983,.01439464,.03140701,.00607056,.00038871
1982m1,.06734993,.07901057,.0868978,.08583476,.07606069
1982m2,-.00661314,-.01636286,-.01516828,-.03314268,-.03977985
1982m3,.02115465,.02167146,.0289065,.04980147,.04673625
1982m4,-.00563912,.00489211,-.00300906,.01194841,-.00576716
1982m5,.01815327,.01662921,.01979773,.01260431,.03250241
1982m6,-.02579647,-.05909381,-.04519052,-.03663247,-.03795792
1982m7,.008147,-.00290036,.0396939,.02708795,.0372648
1982m8,-.0068817,.01415714,.01122767,.02514568,.04337008
1982m9,.0129492,.01624985,.03037127,.01471714,.03716203
1982m10,.02502529,.00386293,.02419041,.02931184,.01714783
1982m11,.07425463,.04660531,.03456918,.01823707,.03603288
1982m12,.02519893,-.00005182,.01403849,.0217243,.02316337
1983m1,.06796845,.02973662,.05012028,.0411964,.02734518
1983m2,.05383291,.03148276,.04552174,.02324968,.03379311
1983m3,.04051671,.04345984,.04750926,.03946798,.03599786
1983m4,.07816908,.06338156,.0560807,.08086044,.06510783
1983m5,.00128815,-.00342957,-.00993054,-.01512841,.01177931
1983m6,.03741654,.04940035,.04983985,.04823877,.05213645
1983m7,.01148852,.0091639,-.02082348,-.03038702,-.0172341
1983m8,.03952905,.02738038,.00647749,.01130564,.02469787
1983m9,.01325511,-.01458514,-.00716014,-.01197056,.00133739
1983m10,.00193164,.00097309,-.02369349,-.01615278,-.0058158
1983m11,.05639996,.0477679,.05767859,.06592656,.06589689
1983m12,.03544216,.02938838,.04382257,.0447592,.03087627
1984m1,.08714363,.06994557,.07482711,.08635133,.07107069
1984m2,.04140889,.0184422,.01278939,-.00005395,-.00329266
1984m3,.04559194,.05514612,.0382397,.04862494,.07191183
1984m4,.0093995,.02502497,.00662251,.04351328,.02947626
1984m5,-.06880542,-.09558822,-.09993239,-.1134015,-.10592264
1984m6,.02129628,.04371289,.01187898,.02274709,.02213358
1984m7,-.0403458,-.02569084,-.02830921,-.01319467,-.02992416
1984m8,.05392663,.09301247,.10951269,.09314429,.08463646
1984m9,.01996081,.02846453,.00571093,.03260969,.02737823
1984m10,.02734523,.01965508,.02740953,.03105868,.03634425
1984m11,.0278817,.03832584,.04745906,.05321827,.0302322
1984m12,.04565851,.05334899,.03733257,.04309934,.04863831
1985m1,.03034417,.02809336,.01248166,.02450875,.01912368
1985m2,.02956885,.01563891,.01305298,-.00818362,-.01367001
1985m3,.03930842,.06763819,.03976209,.02302666,.02919653
1985m4,.02462772,.00098794,.01537223,.027744,.01438589
1985m5,.03810141,.02663504,.01639802,.03360847,.0244581
1985m6,-.04346835,-.06706237,-.07961938,-.06482435,-.06853838
1985m7,.00996107,.03529262,.02344664,.01426524,.02418973
1985m8,.06281986,.06812854,.07381614,.08960458,.07129276
1985m9,.02198704,-.00279427,-.01688955,-.02962417,-.01414904
1985m10,.0476558,.09840219,.07530771,.09844522,.07927437
1985m11,.02597519,.01284981,.03114112,.01087324,.06527558
1985m12,.00701951,-.01070645,-.02418453,-.01773986,-.01753283
1986m1,.03867931,.07509653,.03158202,.02002032,.01701659
1986m2,.08605608,.06202874,.09432375,.08476933,.10082185
1986m3,.03983677,.05927643,.07359211,.0640879,.08433062
