month,S1,S2,S3,S4,S5
1980m10,.0176841,.0220577,.04234906,.02722004,.0450225
1980m11,-.00098946,-.00168106,.00848243,-.0055822,.00200231
1980m12,-.03437263,-.0275803,-.04625486,-.02874888,-.04155498
1981m1,.01607984,.01217104,.01078841,-.02116644,-.00404071
1981m2,.05471722,.0670633,.08791939,.08609233,.0737092
1981m3,.0744827,.09613912,.09005753,.05986051,.03745644
1981m4,.0940652,.08127863,.08312152,.0971386,.08125193
1981m5,.00254011,-.00775343,-.03298575,-.05313851,-.05701651
1981m6,.01100146,-.01389724,-.00117997,.00473494,.02790757
1981m7,-.00645339,-.0073248,-.00372451,-.02333258,-.01010847
1981m8,.03542893,.04275762,.0445348,.05756572,.06541953
1981m9,-.14076372,-.15580382,-.16133885,-.16719077,-.17407042
1981m10,.02153395,.01930055,.03064795,.02377139,.02707281
1981m11,.05909533,.08102453,.11777748,.12082255,.11456187
1981m12,.03403598,.01504665,.02563249,.00278141,-.01194499
1982m1,.07258336,.07562164,.08305322,.08676873,.05749729
1982m2,-.00456382,-.01651673,-.01159551,-.03602134,-.04469964
1982m3,.03304109,.02858863,.03295857,.04540585,.04790325
1982m4,-.00943,.00312148,.00166646,.00895431,.01511033
1982m5,.02312056,.01902774,.02311241,.01342114,.0287337
1982m6,-.03031771,-.0550888,-.0444858,-.03705538,-.04157488
1982m7,.01878233,.00731404,.0506151,.02996429,.02752223
1982m8,.00440583,.0230919,.01698431,.02849481,.05163256
1982m9,.02556181,.03378992,.03265349,.02621135,.05476299
1982m10,.02299272,.00561223,.02609597,.02768612,.02573486
1982m11,.06795967,.05283151,.03763679,.02236445,.02590303
1982m12,.01454944,.00304225,.01400288,.02009407,.02491189
1983m1,.07483427,.02556996,.04884912,.04017323,.02335231
1983m2,.03417039,.02752874,.04754423,.02210181,.00612522
1983m3,.03492551,.04353727,.0465931,.03370837,.03379416
1983m4,.04956118,.061186,.05381169,.07336736,.08195539
1983m5,-.01211296,-.00293907,-.0071333,-.01199528,.00243173
1983m6,.03484699,.05093996,.04933422,.04749567,.05325743
1983m7,.00430026,.00934294,-.00864083,-.02368778,-.02422437
1983m8,.0167263,.02842498,.00906232,.00536853,.04318009
1983m9,.00781088,-.01700404,-.00955881,-.0135818,-.00027458
1983m10,-.01224465,.00004139,-.0259946,-.01539925,-.00304193
1983m11,.04045136,.04741953,.05602034,.06795752,.04660434
1983m12,.02910135,.03108552,.03956695,.04647999,.02783341
1984m1,.0800882,.06586295,.07732282,.08032737,.06005806
1984m2,.02762036,.02009577,.01343144,.00225208,-.01051782
1984m3,.05063384,.05930448,.03935043,.04841079,.08419959
1984m4,.01452827,.02534998,.00396431,.04126013,.04269999
1984m5,-.07183966,-.0983027,-.10574334,-.11310823,-.10666296
1984m6,.01899354,.04647184,.01465298,.02281558,.01468024
1984m7,-.04238596,-.02061309,-.01973626,-.00932727,-.03681686
1984m8,.06422357,.09459658,.10876933,.09390084,.08919789
1984m9,.02606294,.03205594,.00803817,.03350517,.03236415
1984m10,.02921078,.01898004,.02769183,.03102258,.02493076
1984m11,.03654661,.03840311,.04638269,.05056738,.0321921
1984m12,.04212843,.05521011,.03982568,.04063522,.04539197
1985m1,.03388723,.02178075,.01399039,.02203896,.02976481
1985m2,.02568999,.01186338,.01335538,-.00513483,-.01358925
1985m3,.03999982,.05960538,.04175871,.02149971,.02277713
1985m4,.02131655,.00557477,.01388268,.03122567,.00787104
1985m5,.03410404,.02940726,.01998224,.04098089,.01358417
1985m6,-.04684257,-.06585473,-.07502589,-.05909699,-.05621965
1985m7,.00917449,.03713919,.0222064,.01554795,.01374358
1985m8,.06254417,.06921811,.07231846,.08472868,.07053696
1985m9,.01554955,.00565885,-.00803963,-.01637168,-.01943056
1985m10,.04873924,.10125537,.07799967,.09616929,.06100324
1985m11,.01661304,.01146943,.03026193,.01208254,.04858046
1985m12,-.00778519,-.01137521,-.02697838,-.01921285,-.01096022
1986m1,.03303117,.0659109,.03290504,.02267566,.01488497
1986m2,.07773831,.06450222,.10435973,.09265961,.08874645
1986m3,.05006195,.06804057,.07730161,.0703321,.07916509
1986m4,.05149233,.07955932,.07064063,.02956538,-.00439029
