month	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
1980m10	.02916821	.00209617	.02555065	.02053855	.00550704	.01860326	.02687895	.04573354	.03004401	.03387058
1980m11	.00326565	.01015278	-.02184014	.02047326	-.00518236	-.00316505	-.00382716	.00504241	-.00034008	.00166287
1980m12	-.0101867	-.02512122	-.01474491	-.04511175	-.05311048	-.04013194	-.0265367	-.04600812	-.02838483	-.04209553
1981m1	.0321007	.01711067	.01980873	.02310374	.01831955	.00385237	.01660736	.02134015	-.0198344	-.0055816
1981m2	.02994183	.03840087	.05174385	.05922275	.07096856	.05399218	.06376821	.07655682	.10618328	.0788195
1981m3	.05750429	.05442409	.09570965	.07129863	.08347135	.07436306	.09355828	.0899711	.06026241	.04369592
1981m4	.11576086	.13445016	.09949669	.07102588	.09963423	.10157342	.08065657	.09958334	.09831502	.09071713
1981m5	.0059355	.02598366	.01332925	.00492194	-.00589009	-.01721029	-.00398668	-.03404564	-.05241593	-.0577502
1981m6	.02364256	-.00302441	.00554034	.01627924	.01908763	.01109437	-.0164077	-.00723576	.00149919	.01737233
1981m7	-.01002804	-.01810047	.00992958	-.03144902	.01190318	-.01391878	-.01042411	.00002552	-.02327454	-.01259143
1981m8	.03703597	.0379989	.03088614	.04658618	.04315704	.03267101	.03981424	.03987831	.05914482	.05645781
1981m9	-.11410305	-.11433723	-.12758286	-.15568676	-.14637051	-.14285037	-.1569718	-.15677148	-.17279929	-.17285043
1981m10	.03781916	.00980018	.02127414	.01988267	.02336745	.01673073	.02599711	.02279994	.02563177	.00932247
1981m11	.05352653	.06182334	.05957614	.02935513	.06679489	.07774289	.06961875	.10334683	.12306946	.12622863
1981m12	.02023175	.03482482	.02419632	.04850924	.03157135	.04014306	.02379761	.02215887	.02007399	-.00065281
1982m1	.06062589	.06101627	.0682113	.06291764	.06382031	.08135336	.08958135	.08585025	.08064445	.07755609
1982m2	-.00041425	-.01918691	-.00929303	-.02416519	.00402631	-.00169566	-.01116648	-.01755925	-.02483146	-.04063758
1982m3	.01843141	.01014874	.00057849	.03564675	.01471542	.03364728	.0357592	.03100048	.04952362	.04353821
1982m4	-.00649616	-.00902341	.00670229	-.00353284	.00198032	-.01019289	-.01111793	-.00115112	.01541727	-.00685144
1982m5	.00798266	.02251205	.00673289	.02231969	.01620315	.04043928	.01980456	.01733899	.01382145	.02868743
1982m6	-.02067711	-.00095823	-.0218178	-.05282572	-.03463424	-.03601814	-.04630364	-.05353284	-.03647196	-.03880323
1982m7	.00699319	-.00147587	.00141313	.01849472	.00143724	.01904748	.00442108	.0283872	.03601312	.03132902
1982m8	-.02119392	.00160342	-.01174575	-.03482294	.00130566	.01371239	.00977408	.00845685	.02533173	.03991237
1982m9	-.00744719	.02787118	.0008403	.01697951	.01207701	.02047292	.02147843	.03088566	.0280917	.02369264
1982m10	.06307544	.0142589	.00178693	-.00260619	.01088537	.04106154	.01224531	.00981362	.03648493	.01800018
1982m11	.11766769	.08904896	.05509264	.04013309	.03805227	.06149461	.06191359	.04560371	.01804934	.0398681
1982m12	.06285912	.01485174	.02677938	.01467584	.00263145	-.00068917	.01947577	.0112695	.0216755	.01880871
1983m1	.087527	.07238271	.08262662	.05627041	.05687468	.06006559	.03607914	.03610797	.04708645	.02785328
1983m2	.07578136	.03684114	.0375057	.07340552	.05224007	.03777029	.05008383	.02679877	.03708231	.0319051
1983m3	.04192703	.03062318	.05976955	.0533009	.02290446	.04132873	.04214185	.04191958	.04814481	.0306651
1983m4	.09443892	.08593758	.04949535	.11137902	.08942977	.05779581	.04306682	.05624855	.07825495	.0627476
1983m5	.0216748	-.01598775	.03418113	-.00522839	-.00887595	-.022416	-.00219077	-.01231214	-.01060436	.00860604
1983m6	.04737907	.0419704	.02001641	.04654668	.03961645	.01166383	.04715948	.05161569	.05193513	.04780053
1983m7	.03214062	.01788649	.011967	-.02032205	.01628589	-.00373849	.00747314	-.00698534	-.02676435	-.01872847
1983m8	.06927967	.07383237	.01713976	.03743516	.00550296	.02204417	.01152531	.01915657	.00916831	.02466351
1983m9	.03849754	.00133138	-.00311705	.00746785	.00913214	.0067413	.01069251	-.0133366	-.01330231	.000432
1983m10	.0265886	.01316803	.01828183	-.00412829	-.01080809	-.02986894	-.00874346	-.00887249	-.02323053	-.00663659
1983m11	.07992593	.05692915	.0825826	.05337705	.04645537	.02168978	.046083	.05558926	.0551598	.07077559
1983m12	.04839222	.03891358	.01154873	.03414904	.04339759	.02007282	.01976245	.04736988	.03906779	.0335976
1984m1	.1122258	.05603542	.08572787	.08021344	.08204522	.08841822	.06582012	.0682427	.09085708	.06888346
1984m2	.05493189	.05915136	.06389439	.03726295	.02615138	.02678966	.02014187	.01445693	.00117628	-.00262623
1984m3	.03901546	.05723206	.05004744	.05217533	.04369946	.04263431	.04258412	.05473457	.03778227	.07431124
1984m4	-.00434816	.02570097	-.00355637	.01580703	.00402559	.0142363	.03024471	.01959066	.02881936	.03184606
1984m5	-.06106241	-.07034113	-.09390323	-.04775155	-.07372686	-.07955263	-.0818437	-.09312306	-.11355688	-.10787887
1984m6	.02493142	.01160324	.031633	.01956107	.02665469	.00909014	.04027466	.01973919	.02133414	.02382902
1984m7	-.03519594	-.06578341	-.03610275	-.02786173	-.02881319	-.05720572	-.03232769	-.02905734	-.01976091	-.02236742
1984m8	.03441477	.06381873	.06936921	.04032148	.05248744	.07597469	.06987781	.1100988	.10018048	.08721561
1984m9	.02152985	.003246	.00432509	.03384157	.03492631	.00068414	.03334664	.02054767	.02264839	.02685824
1984m10	.03013482	.03996069	.02875308	.01113831	.00901861	.038536	.03317181	.02244616	.02297561	.03935096
1984m11	.01796644	.0133592	.02838748	.02032538	.03968208	.04559192	.03487881	.04456563	.05563365	.02945923
1984m12	.07290866	.05119908	.01344692	.04531251	.03584638	.04631996	.04024878	.05110157	.03837847	.04865356
1985m1	.03210441	.01201842	.0337709	.05032729	.00156358	.03638978	.0267197	.02377964	.02322739	.01838475
1985m2	.04153633	.04840661	.01023921	.03776822	.02885675	.01685116	.01938833	.01438281	-.00032784	-.0136697
1985m3	.06542317	.01337305	.02100532	.04736504	.01821767	.04628304	.05761268	.04168134	.03838016	.02300569
1985m4	.01955176	.04228591	.03070677	.02459128	.02362976	.02717207	.00369197	.01589685	.00772935	.0236621
1985m5	.07491439	.03185635	.03425234	.02334511	.02765799	.02195141	.03260043	.02030006	.02329195	.02949517
1985m6	-.03668839	-.0575441	-.01801397	-.05063091	-.05705584	-.04628624	-.05564101	-.06796798	-.07476555	-.06887006
1985m7	.04877932	-.00580503	-.00534328	-.00208735	-.00710407	-.00214054	.02307075	.03729337	.01612623	.02083583
1985m8	.0629669	.0614589	.06531777	.07625072	.06078314	.06003457	.04820531	.07115197	.08907175	.07334254
1985m9	.02581567	.05387019	.02422486	.01919846	.02753894	.00281908	.0025344	-.00730368	-.02745516	-.01649836
1985m10	.06465686	.03176062	.05785262	.01716946	.05270788	.0507161	.05351634	.08964498	.09661571	.08014307
1985m11	.06504152	.03244695	.01362544	.00861005	.03409484	.00435596	.023306	.01762629	.01527967	.05541762
1985m12	.05622715	.02774776	.00186499	-.00466935	-.02682075	-.00647874	-.00841429	-.0252442	-.01616061	-.01652066
1986m1	.05440524	.06253676	.03007643	.02268506	.02243628	.0417329	.04712406	.04516621	.03006708	.01684428
1986m2	.11323738	.10541142	.07432793	.08643944	.06681354	.06752998	.07773022	.0750603	.08759503	.10098503
1986m3	.04565058	.03001021	.05290887	.01582546	.03648475	.04063252	.05193717	.06219887	.06869463	.08237276
1986m4	.07694153	.09978491	.07335706	.04141076	.05037741	.05365581	.04684179	.07175493	.0341215	.01634616
1986m5	.03260601	.03774476	.01418707	.02340173	.02814096	-.00490992	-.01718695	-.01707356	-.01468049	-.03483556
1986m6	.05836966	.06239139	.04843452	.04477116	.02882508	.03731469	.03722394	.02666159	.03303703	.04307618
1986m7	.05606253	.01332965	-.00703399	-.01041631	-.02426697	-.02702208	-.04098394	-.03981087	-.04438462	-.06298601
1986m8	.02038358	.01317813	.00847921	.01970989	.0460305	.01745355	.0288931	.03355237	.03741578	.05954671
1986m9	.02019142	-.01067175	-.01617537	-.02538577	-.01877875	-.00486647	-.03458331	-.04551931	-.04275942	-.06047839
1986m10	.10516596	.04498522	.06084296	.03897765	.04398668	.03877502	.04500439	.03956449	.04545368	.05716048
1986m11	.07462803	.05334453	.03815475	.07141182	.02396501	.03936387	.0412729	.03192116	.03605706	.02484022
1986m12	.06332756	.03462224	.04108123	.02001943	.02638015	.01974159	.03120433	.01423546	.01325408	.01586506
1987m1	.08715174	.08660882	.08450888	.10174319	.09434724	.09288054	.09162068	.09289809	.0944595	.09318324
1987m2	.14179344	.1240308	.08426944	.10091377	.09823703	.0995558	.12017594	.08209686	.08797815	.10463135
1987m3	.10209361	.12258167	.10074325	.10479707	.09543317	.101276	.05312779	.05976336	.05609075	.01176698
1987m4	.05000268	.04882767	.04991438	.05591464	.06265009	.03308521	.03905968	.03941128	.02751743	.0269514
1987m5	.15533533	.13924477	.09791024	.08157901	.10441134	.08181535	.07967126	.07429972	.07014174	.06755331
1987m6	.25312241	.21265489	.13260971	.12524558	.18187571	.10561111	.12555127	.08340455	.08909499	.05681742
1987m7	.36584537	.20675576	.16608485	.14108964	.129609	.10139888	.12641608	.08087189	.07032893	.04611853
1987m8	.00454242	-.02886929	-.03981263	-.03981111	-.02749876	-.03734028	-.04596417	-.04297105	-.04821289	-.04416886
1987m9	.06104446	.05333264	.05730699	.04542165	.04964229	.04775419	.04615153	.04981978	.05802716	.05570252
1987m10	-.14062406	-.1992797	-.21053676	-.21203192	-.22485612	-.23728502	-.24085833	-.25544596	-.29241866	-.27638762
1987m11	-.14871576	-.17076271	-.1680664	-.17046663	-.17554415	-.17661904	-.1711882	-.13569924	-.11928262	-.09721565
1987m12	.01510096	.02968251	-.00507499	.03746421	.05305	.05639779	.07562601	.12651746	.13867401	.13469217
1988m1	.04973651	.05326068	.08443751	.07284053	.07543428	.0822009	.08318145	.07986497	.0657018	.06696365
1988m2	.01043753	.01173029	-.00116737	.02439958	.0055348	-.00510518	-.00067034	.00199106	-.00011576	-.00817506
1988m3	-.01269244	-.00535179	-.01314781	-.00643261	.0100954	.01682316	-.00117888	.02263021	.00236547	-.00935172
1988m4	.06483502	.02732916	.05252652	.04417418	.03042831	.04534511	.029368	.04508694	.04331663	.05650585
1988m5	.03190925	.04125089	.01681116	.01659708	.03253526	.02237318	.03405377	.0286042	-.00054961	.00301642
1988m6	.04904212	.06730803	.06611041	.04648885	.04705148	.05012935	.03960415	.03332639	.05128123	.04403337
1988m7	.04563842	.04305635	.02612628	.0297203	.03185925	.02525532	.0106509	.0235435	.01508571	.01046687
1988m8	-.00105839	.00840622	-.02379685	-.03803137	-.04473243	-.03507583	-.050528	-.06550917	-.06583148	-.05741351
1988m9	.01722703	-.0093538	-.01343346	-.00663517	.01335011	.00634372	.0172305	.02468072	.04423609	.04896724
1988m10	.07324632	.0373666	.02267389	.02567959	.03036947	.03298556	.03477245	.03394594	.04254157	.03364001
1988m11	-.0000136	-.03170848	-.01648404	-.02720502	-.01417469	-.02377466	-.02873485	-.02451693	-.03521492	-.03470842
1988m12	-.0425945	-.027293	-.04498269	-.04379491	-.03573818	-.05009576	-.03870571	-.03262098	-.03467004	-.00789606
1989m1	.06609849	.09202433	.09763652	.09298033	.08134732	.11450786	.10238718	.10966393	.13349726	.13840594
