month,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
1980m10,.02916821,.00209617,.02555065,.02053855,.00359357,.01672069,.02838344,.04597344,.03003566,.04419352
1980m11,.00264501,.01013578,-.02230524,.02065575,-.00659505,-.00281912,.00016124,.00458842,-.00234891,.00173983
1980m12,-.01269274,-.02753907,-.01494441,-.04517336,-.04877467,-.03912348,-.02530767,-.04520345,-.02799667,-.04179116
1981m1,.04025809,.01684228,.02078559,.02196842,.01602721,-.00103872,.01616244,.01469996,-.02264651,-.00400027
1981m2,.04306134,.04019709,.0576465,.05644625,.06943992,.05386969,.06608646,.07193799,.09686516,.07317083
1981m3,.03944995,.05308665,.09682652,.07140388,.09086037,.07129322,.0976677,.09281372,.06019903,.03747753
1981m4,.09733107,.11756774,.08504703,.06659763,.09155376,.10052782,.08013843,.08834117,.09533705,.08114307
1981m5,.0088625,.01798314,.01707634,.00975065,-.00244805,-.00833194,-.00874877,-.03335686,-.05312949,-.05688665
1981m6,.01601704,.00492545,.00348183,.01438769,.01960447,.01271395,-.01912521,-.00326377,.00609686,.02770048
1981m7,.00231479,-.02250344,-.00462501,-.02750922,.0082495,-.00643948,-.00848231,.00150354,-.02510161,-.01019908
1981m8,.03951909,.03704808,.03315988,.04042182,.04179701,.03081651,.04188181,.04586647,.05629315,.06543854
1981m9,-.12776101,-.11876112,-.12610139,-.15128643,-.1521155,-.14095872,-.15995572,-.15931994,-.16870414,-.1739259
1981m10,.03758131,.00980018,.02127414,.01955672,.02072524,.01622005,.02664182,.02309688,.02393498,.02725233
1981m11,.04947054,.05707194,.05681637,.02733446,.06561593,.05933423,.06633909,.10286772,.12545164,.1145135
1981m12,.01949714,.02840548,.02053051,.049349,.02922918,.04079241,.01775756,.01343955,.01500111,-.01176986
1982m1,.05570023,.06168433,.07097739,.06696842,.0628524,.07625279,.08463039,.08842276,.08253527,.05868396
1982m2,.00020737,-.02401994,-.01279623,-.02073817,.00339116,-.00131923,-.01082217,-.01761174,-.02718655,-.04472705
1982m3,.02474871,.01237219,.00373881,.0262205,.01891507,.03943747,.03754492,.03302718,.049343,.04685756
1982m4,-.01089077,-.01577573,.00778708,-.00594173,-.0010978,-.00769264,-.01246866,.00010244,.01587977,.01374794
1982m5,.01095762,.02173872,.00387401,.01525845,.01691567,.04384435,.02207098,.0218102,.01467395,.02798379
1982m6,-.02343751,-.00882964,-.02203615,-.04794369,-.03262618,-.03207463,-.04363861,-.05103935,-.03549601,-.0416495
1982m7,.00170831,.00494723,.00221459,.02118667,.01154665,.0269312,.00659702,.04236185,.04165883,.02618646
1982m8,-.00900953,.0034267,.00113208,-.01144116,.00406056,.0126336,.01684362,.01578813,.03086753,.05013702
1982m9,-.00011164,.02857789,.00341416,.01058218,.01908649,.02717114,.03079784,.03989037,.04416723,.05071697
1982m10,.06307544,.0142589,.00178693,-.00048526,.00950782,.04503672,.01041464,.00933165,.03321401,.02564777
1982m11,.12342261,.09217197,.05401744,.03591544,.03848945,.08565998,.05162297,.04622828,.01566993,.02761211
1982m12,.06837113,.01873325,.02906849,.01302219,-.00108124,-.00676127,.01464866,.01394046,.02554607,.02334702
1983m1,.13883759,.091376,.10255925,.05760238,.05863221,.11213392,.03603576,.03837244,.0422631,.02405086
1983m2,.06629175,.04170344,.02499231,.07682163,.04871243,-.00823599,.0447449,.02575555,.03508216,.00646476
1983m3,.01636534,.03419798,.05213217,.05624966,.02769232,.03755412,.03714475,.04561823,.04540839,.03218279
1983m4,.07580702,.08386808,.03910364,.10450231,.08136686,.02697843,.03927855,.05367714,.07669559,.08028709
1983m5,.00996328,-.03368141,.02483355,.00120823,-.01151218,-.03977845,.00101037,-.00934873,-.01058204,.00192402
1983m6,.03939355,.02459933,.01990813,.06025221,.03587532,.00874733,.04807395,.05385724,.0520824,.05213828
1983m7,.02575721,.00964293,.01269311,-.01960145,.01660923,-.00871614,.00630737,-.00310151,-.02048738,-.02396033
1983m8,.04135678,.04235563,.01599817,.03187418,.00192956,.01547224,.01227385,.01778817,.00531655,.04177474
1983m9,-.00460062,.00348472,-.00245896,.00527181,.00610712,.00757717,.00682782,-.0116661,-.01655859,-.00043864
1983m10,.02456307,.01316803,.01752009,-.00334488,-.01044428,-.02699811,-.0076599,-.01127386,-.02084305,-.00352965
1983m11,.05917375,.05767916,.03524278,.05517373,.0446767,.02402022,.04711788,.0567598,.0550918,.0489957
1983m12,.03474679,.0358958,.00974714,.03807219,.04302359,.01971535,.02135679,.04491264,.04227436,.02886599
1984m1,.09737888,.05590902,.08551328,.08097861,.08228223,.0900215,.06539625,.06841197,.08795633,.06005806
1984m2,.04812725,.05650591,.07142623,.03769776,.02291508,.02278263,.02344428,.01679494,.0035774,-.0098739
1984m3,.04387917,.05751937,.04849984,.05376449,.04637629,.04609031,.04782739,.05075907,.03589342,.08416913
1984m4,-.00838121,.02303507,-.00492686,.01775671,.0026791,.01043744,.02815991,.01854595,.02917955,.04278932
1984m5,-.06774941,-.07099981,-.08440206,-.05289208,-.07427747,-.07278739,-.08587347,-.09666647,-.11210339,-.10733663
1984m6,.02334978,.01260951,.03448887,.0227992,.0279757,.00623926,.04045457,.02142768,.01939141,.01557441
1984m7,-.02721848,-.06437612,-.02807671,-.02520247,-.03066671,-.05683182,-.03323707,-.02640393,-.01553463,-.03427643
1984m8,.02484008,.06701727,.0688791,.04344698,.05714619,.07298731,.07008452,.10424233,.09726381,.08985787
1984m9,.02117226,.00815667,.01863196,.03503447,.04016095,.01807449,.02506749,.02070023,.03136429,.03171932
1984m10,.02954595,.03996069,.02681759,.01124471,.00948995,.03964618,.03346882,.02619311,.02070833,.02652538
1984m11,.01717511,.01143952,.02950034,.02272505,.04402429,.04620927,.03608835,.04535889,.05757295,.03182992
1984m12,.05868876,.04724025,.00994645,.04404147,.03825531,.04884938,.04144451,.05147743,.03623401,.04562218
1985m1,.02273025,.01180896,.04194299,.05975069,.00360531,.03785934,.02656198,.01756577,.02450056,.02866646
1985m2,.03723015,.04801292,.01245369,.0344833,.03446536,.01734011,.02283394,.01236239,.00066904,-.01338618
1985m3,.04622449,.02029849,.02300118,.05573583,.01821091,.04493422,.06440994,.03846663,.03548619,.02147964
1985m4,.01662017,.03664332,.02076019,.03006378,.02087405,.0271709,.00775759,.02308442,.01018027,.01111347
1985m5,.06434803,.02935884,.02524909,.01422824,.03865271,.02514118,.04471674,.02422896,.02740108,.01651832
1985m6,-.03315525,-.04998724,-.01583717,-.03828173,-.05908853,-.04801543,-.0588379,-.06595405,-.06491051,-.0563993
1985m7,.05110164,.00040074,.00188406,-.00187914,.00009173,-.00170439,.02461596,.03743417,.01904395,.01302205
1985m8,.06802178,.04735025,.06251455,.07229893,.06394396,.07036036,.05466666,.06708439,.08532245,.07122061
1985m9,.02755802,.05443688,.02422429,.01624448,.02132684,.00810589,.0097389,-.00349899,-.01333592,-.01937055
1985m10,.06006584,.03033367,.057189,.01702199,.05450165,.05358186,.05469727,.08644471,.09872355,.06242193
1985m11,.05722422,.03793439,.00994659,.00811011,.0331507,.00484941,.02312704,.02026378,.01284252,.04680598
1985m12,.04577703,.03030477,-.00036299,-.00668474,-.02153773,-.00517201,-.00716717,-.0281366,-.02154176,-.01108608
1986m1,.05895844,.0582636,.02796451,.02325618,.01405689,.04171856,.0518782,.04032579,.02974579,.0151691
1986m2,.0989089,.10134258,.08055872,.0862531,.06174876,.06751609,.0723545,.08050773,.09223176,.08993387
